eventID,measurementType,measurementValue,measurementUnit
0dba1b8d-d03c-4ed3-8b2c-4edc238e9574,estimated covered area,4000,m²
0dde029b-703d-49fe-b634-1a2695811ee9,estimated covered area,2000,m²
0de4c0b5-496a-41b1-b32d-e5467f14888a,coverage,10,%
0de4c0b5-496a-41b1-b32d-e5467f14888a,estimated covered area,12,m²
0dff68c5-988e-4f4a-bce8-4242dbebd5e0,coverage,0,%
0dff68c5-988e-4f4a-bce8-4242dbebd5e0,estimated covered area,30,m²
0e42c66f-95fa-45dd-ba61-fbd511c3ae88,estimated covered area,150,m²
0eb4ad89-d01c-445a-8b18-eb56fd812f88,coverage,0,%
0eb4ad89-d01c-445a-8b18-eb56fd812f88,estimated covered area,1,m²
0ebc89c9-8b6a-4f33-9f44-e7b0c78e7f94,coverage,30,%
0ebc89c9-8b6a-4f33-9f44-e7b0c78e7f94,estimated covered area,15,m²
0f2905ef-3f71-49e3-812c-c5c1cdf35625,estimated covered area,100,m²
0f68c44f-7622-4231-8c92-9306242b8301,coverage,20,%
0f68c44f-7622-4231-8c92-9306242b8301,estimated covered area,4,m²
0f6dd479-f387-4db2-8eca-bcb793431abb,coverage,80,%
0f6dd479-f387-4db2-8eca-bcb793431abb,estimated covered area,10,m²
0f87068e-6181-4515-b37e-1b8a138b459d,estimated covered area,500,m²
0fb47d62-40d5-456d-8958-f84c0b5d8c97,estimated covered area,36,m²
0fbf8d2d-9fa3-49d6-bcd0-4f832db85166,coverage,20,%
0fbf8d2d-9fa3-49d6-bcd0-4f832db85166,estimated covered area,2,m²
0fdd0e96-5e3b-450d-84c1-1e6f4f1f4b93,coverage,80,%
0fdd0e96-5e3b-450d-84c1-1e6f4f1f4b93,estimated covered area,200,m²
1020f8e4-b7ba-40e0-aa12-f6edb7d85290,estimated covered area,1,m²
102c2117-2f85-4b4e-b079-5e9fe3124c0a,coverage,30,%
102c2117-2f85-4b4e-b079-5e9fe3124c0a,estimated covered area,10,m²
102e9e11-090e-4113-8b3f-709b375275aa,coverage,90,%
102e9e11-090e-4113-8b3f-709b375275aa,estimated covered area,10000,m²
103fb61b-8777-4436-b765-67f405c05ca6,estimated covered area,10,m²
10645e2e-2e0f-4890-9c65-5d332c8b9a1f,estimated covered area,5,m²
1074f989-5608-4d66-9ff5-eb6c3d3f0ad8,coverage,20,%
1074f989-5608-4d66-9ff5-eb6c3d3f0ad8,estimated covered area,60,m²
108f4bfb-9484-42a7-9ce7-42854455a4dc,coverage,100,%
108f4bfb-9484-42a7-9ce7-42854455a4dc,estimated covered area,1,m²
108f81e9-3d29-44f3-8db8-cd4bb70f5433,estimated covered area,5,m²
10ae4948-c1bc-4301-bbd6-b782fec762e9,coverage,80,%
10ae4948-c1bc-4301-bbd6-b782fec762e9,estimated covered area,400,m²
10bc105c-67fc-48dc-a413-7685141e060e,coverage,30,%
10bc105c-67fc-48dc-a413-7685141e060e,estimated covered area,150,m²
10d964c5-fd33-41e5-9dc4-3bc22ba70e8f,estimated covered area,25,m²
10f83b4d-68a9-44d9-931c-5a9ebc3dd750,estimated covered area,50,m²
11069f07-09eb-4142-93c4-e5cebdaac6cd,estimated covered area,50,m²
1128001b-5b79-467e-8f31-f894c5f46452,estimated covered area,75,m²
11648be6-8268-40e4-aa16-f8520cc5c4ac,estimated covered area,100,m²
1185d770-388b-4d2f-9690-91c30a3adbfd,coverage,10,%
1185d770-388b-4d2f-9690-91c30a3adbfd,estimated covered area,20,m²
11e206f4-96b2-4014-93b4-3356f076450f,coverage,0,%
11e206f4-96b2-4014-93b4-3356f076450f,estimated covered area,100,m²
11e53d6d-dc49-455a-b882-adfab6756304,estimated covered area,20,m²
11fed3f1-75cd-42d9-abc8-320a30d80aae,estimated covered area,20,m²
121ce1fa-f2cc-4cf3-9dc3-2d8b7540be93,coverage,0,%
121ce1fa-f2cc-4cf3-9dc3-2d8b7540be93,estimated covered area,20,m²
12663293-e019-400c-a25f-e9431384e99d,estimated covered area,10000,m²
12740c00-407e-4427-abea-cbd356550a88,estimated covered area,45,m²
127ad45f-04fb-45d8-89e2-e938a15d66b3,coverage,0,%
127ad45f-04fb-45d8-89e2-e938a15d66b3,estimated covered area,50,m²
128bf1c7-4a3a-4905-a148-7f224495d6a7,coverage,60,%
128bf1c7-4a3a-4905-a148-7f224495d6a7,estimated covered area,50,m²
12b3eac8-88d7-40b5-a725-103c932aeb36,coverage,0,%
12b3eac8-88d7-40b5-a725-103c932aeb36,estimated covered area,300,m²
12cc253f-9433-4050-b25f-d995028c9368,estimated covered area,5,m²
12fc9d72-091f-4c5a-b45c-ac2335b04e9c,estimated covered area,5,m²
132568aa-b6d4-447d-a5d6-e137dcca82e5,estimated covered area,20,m²
133e4ed2-0ca3-4ffb-a87b-543d0c0ba810,coverage,50,%
133e4ed2-0ca3-4ffb-a87b-543d0c0ba810,estimated covered area,30,m²
13509520-cf07-4830-9fb9-5c17a41d054d,coverage,10,%
13509520-cf07-4830-9fb9-5c17a41d054d,estimated covered area,20000,m²
1356c0ca-cd6e-463d-9ee2-d476791b4e5a,coverage,60,%
1356c0ca-cd6e-463d-9ee2-d476791b4e5a,estimated covered area,1000,m²
13802775-80a4-4de7-9228-433c0d9df045,coverage,0,%
13802775-80a4-4de7-9228-433c0d9df045,estimated covered area,1,m²
1395cb75-c73c-4a59-9315-1b7a71a45070,coverage,0,%
1395cb75-c73c-4a59-9315-1b7a71a45070,estimated covered area,100,m²
1398feb5-8f5d-4cd8-90be-31582893ddc8,estimated covered area,5,m²
13a0ddf3-4626-4de1-8606-415984fb05b1,estimated covered area,500,m²
13a55197-8716-4974-b701-fd6e5a700564,coverage,0,%
13a55197-8716-4974-b701-fd6e5a700564,estimated covered area,50,m²
13b5592a-f99c-44d8-895f-611a1856ef2a,coverage,0,%
13b5592a-f99c-44d8-895f-611a1856ef2a,estimated covered area,100,m²
13e12bc5-6094-41c2-8631-f83f24d050aa,coverage,70,%
13e12bc5-6094-41c2-8631-f83f24d050aa,estimated covered area,700,m²
143a4dae-5209-4291-94e3-519b97e854b9,estimated covered area,500,m²
14456420-cf04-44af-98d8-40269c936423,coverage,90,%
14456420-cf04-44af-98d8-40269c936423,estimated covered area,100,m²
147716de-eb9a-4c2d-966a-2d73e971cf5e,coverage,0,%
147716de-eb9a-4c2d-966a-2d73e971cf5e,estimated covered area,1000,m²
1495a651-e066-4128-b84f-d22f523b2240,coverage,20,%
1495a651-e066-4128-b84f-d22f523b2240,estimated covered area,20,m²
1496d681-8a9d-45a6-89de-c12aa7a1c90d,estimated covered area,100,m²
14a5a30b-8d40-46af-b7dc-c669a07a0581,coverage,30,%
14a5a30b-8d40-46af-b7dc-c669a07a0581,estimated covered area,6,m²
14ff2f69-0f85-475a-90ea-4d6126287342,coverage,0,%
14ff2f69-0f85-475a-90ea-4d6126287342,estimated covered area,100,m²
15134dff-74f9-4ec8-a471-32a84a8a5af5,coverage,0,%
15134dff-74f9-4ec8-a471-32a84a8a5af5,estimated covered area,1,m²
1525c087-4192-4202-8255-23dbec499b29,estimated covered area,100,m²
15700b6c-0908-404e-a4b4-0bacd2f10a69,coverage,10,%
15700b6c-0908-404e-a4b4-0bacd2f10a69,estimated covered area,200,m²
15965837-6f41-48cf-9bd4-b551c91eb46f,coverage,0,%
15965837-6f41-48cf-9bd4-b551c91eb46f,estimated covered area,50,m²
15b5979e-9e70-4352-b768-5d67efc4e72c,estimated covered area,10,m²
15b6d6cb-ebdb-491d-9bf0-7699d7f5543e,coverage,0,%
15b6d6cb-ebdb-491d-9bf0-7699d7f5543e,estimated covered area,200,m²
15d6a7c8-38c8-423a-aafb-7a7d4e455861,estimated covered area,100,m²
15f6c978-fcba-4c79-a1f8-197deb5d5613,estimated covered area,200,m²
160a10ca-54ea-49d6-92b2-8ddcc4fa0e1b,coverage,0,%
160a10ca-54ea-49d6-92b2-8ddcc4fa0e1b,estimated covered area,2,m²
1649fadd-4643-420a-95bb-65412388dba8,coverage,20,%
1649fadd-4643-420a-95bb-65412388dba8,estimated covered area,15,m²
1658570e-ecf4-43c1-9c77-816095f1d48c,estimated covered area,3000,m²
166efda3-301b-4c54-9be4-7112c33e114b,estimated covered area,100,m²
166f3568-b87e-4eb0-814c-4b8308a1d171,estimated covered area,10,m²
16b46700-d84f-4bfc-8088-b7bbfa6534eb,coverage,0,%
16b46700-d84f-4bfc-8088-b7bbfa6534eb,estimated covered area,100,m²
16d2138b-73fc-4ac6-b4f5-e5cbfc87c16b,coverage,10,%
16d2138b-73fc-4ac6-b4f5-e5cbfc87c16b,estimated covered area,20,m²
16ea3af4-f437-474c-b40d-abe5f6db5f45,estimated covered area,2000,m²
16fa738d-3791-4289-99e8-6a66b8a928b6,coverage,50,%
16fa738d-3791-4289-99e8-6a66b8a928b6,estimated covered area,50,m²
1708f560-591c-406f-9ffb-9dcba348fd01,estimated covered area,5,m²
171dfcf4-5935-4963-9452-5e9cd24aaf0a,coverage,70,%
171dfcf4-5935-4963-9452-5e9cd24aaf0a,estimated covered area,100,m²
17276c21-bd64-45c2-a4f1-ce9e07332230,estimated covered area,500,m²
17312b0d-fe03-46d9-8c6a-5899dd03cdce,estimated covered area,10,m²
1737b0ae-20aa-47e0-b717-bb3ce4aa5990,coverage,50,%
1737b0ae-20aa-47e0-b717-bb3ce4aa5990,estimated covered area,100,m²
17380b8a-7a41-42da-b6c7-99d83c33326f,coverage,80,%
17380b8a-7a41-42da-b6c7-99d83c33326f,estimated covered area,500,m²
17bd2e34-a00e-49c4-b021-4c090984ecc6,estimated covered area,10,m²
1813beea-7745-4959-8e1a-ddec5da0c241,estimated covered area,5,m²
18145a31-b5bc-44ce-895d-f6b40b838670,coverage,30,%
18145a31-b5bc-44ce-895d-f6b40b838670,estimated covered area,30,m²
182b91c4-34a1-45e1-b916-08796cb31ff9,coverage,20,%
182b91c4-34a1-45e1-b916-08796cb31ff9,estimated covered area,100,m²
18a61213-c410-42db-9c52-4137d72787d2,estimated covered area,50,m²
1915b120-b7f9-4cbf-bdf2-8870719e0f08,estimated covered area,2000,m²
191e3bc3-ab86-47c5-8baa-eb8369feca11,coverage,30,%
191e3bc3-ab86-47c5-8baa-eb8369feca11,estimated covered area,50,m²
192485f9-6578-4ffd-ba44-eecf02b15b5b,coverage,100,%
192485f9-6578-4ffd-ba44-eecf02b15b5b,estimated covered area,5,m²
192f03db-7f2c-4451-9ce5-6c00f3245f68,estimated covered area,20,m²
196269d7-da6e-4557-b99d-4c117a902941,coverage,100,%
196269d7-da6e-4557-b99d-4c117a902941,estimated covered area,50,m²
19952249-055a-4501-b73b-4e4cd246ad5d,estimated covered area,100,m²
19b4d1aa-8cbd-4a05-8635-19c4269c9f8e,coverage,40,%
19b4d1aa-8cbd-4a05-8635-19c4269c9f8e,estimated covered area,100,m²
19eb6ee5-bf44-4967-9aa4-e0a095f007db,estimated covered area,100,m²
1a34dc81-0568-435e-9039-2587923fd55c,coverage,30,%
1a34dc81-0568-435e-9039-2587923fd55c,estimated covered area,2000,m²
1a76a7c9-517f-4fa5-876c-054da047ad61,coverage,20,%
1a76a7c9-517f-4fa5-876c-054da047ad61,estimated covered area,500,m²
1a833775-4225-4227-b768-d4b3d78a7795,coverage,0,%
1a833775-4225-4227-b768-d4b3d78a7795,estimated covered area,300,m²
1ad71ab7-479c-4e6d-91e9-2ab5fc3c9e08,coverage,0,%
1ad71ab7-479c-4e6d-91e9-2ab5fc3c9e08,estimated covered area,5,m²
1b01b0df-1523-4197-b4e0-57cb35d46002,estimated covered area,80,m²
1b416b1e-3227-49cf-ad99-7d538408d6fe,estimated covered area,20,m²
1b43891d-6cf1-47cf-9d1b-2bda7d826dfd,coverage,0,%
1b43891d-6cf1-47cf-9d1b-2bda7d826dfd,estimated covered area,5,m²
1b5b7ef0-707c-4399-a155-8e8c368791b2,coverage,20,%
1b5b7ef0-707c-4399-a155-8e8c368791b2,estimated covered area,10,m²
1b97ef20-4c7b-45e4-bc82-083cbfa80d21,coverage,20,%
1b97ef20-4c7b-45e4-bc82-083cbfa80d21,estimated covered area,150,m²
1bf43420-6ef2-40a3-b4a7-444cab8cb998,estimated covered area,100,m²
1c0e6286-8341-41a6-9a01-939fc11b2470,coverage,30,%
1c0e6286-8341-41a6-9a01-939fc11b2470,estimated covered area,8,m²
1c207884-ad40-4a98-b1e2-a0c79d5e8209,coverage,30,%
1c207884-ad40-4a98-b1e2-a0c79d5e8209,estimated covered area,12,m²
1c5907cf-cb3b-4780-96fa-e43677af8ae3,coverage,20,%
1c5907cf-cb3b-4780-96fa-e43677af8ae3,estimated covered area,200,m²
1c5cd9f6-3fa5-4e8a-ac76-8b64745a8c8b,coverage,0,%
1c5cd9f6-3fa5-4e8a-ac76-8b64745a8c8b,estimated covered area,8,m²
